Universidad,Facultad,Dirección
Universidad Argentina de la Empresa,Facultad de Comunicación,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Comunicación y Diseño,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Ingeniería y Ciencias Exactas,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Escuela de Sistemas,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias de la Salud,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias Psicológicas,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,"Facultad de Ciencias Sociales, Jurídicas y Humanas",Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Escuela de Arquitectura,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Ciencias Biomédicas,Dirección: Juan Domingo Perón 1500 -ex - Pilar - Buenos Aires 
Universidad Austral,Facultad de Ingeniería,Dirección: Mariano Acosta 1901 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Escuela de Educación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Comunicación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Derecho,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Instituto de Ciencias para la Familia,Dirección: Mariano Acosta 1611 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Ciencias Empresariales,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Escuela de Dirección y Negocios,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Humanidades y Ciencias Sociales,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Psicología y Ciencias Pedagógicas,Dirección: Junín 516 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Sistemas,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Administración y Ciencias Sociales,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Ciencias Biológicas,Dirección: Junín 516 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Matemáticas,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Católica de La Plata,Facultad de Derecho y Ciencias Políticas,Dirección: 57 936 - La Plata - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Arquitectura y Diseño,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Ciencias Económicas y Sociales,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Derecho y Ciencias Políticas,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
Universidad Católica de La Plata,Facultad de Arquitectura y Diseño,Dirección: 50 818 - La Plata - Buenos Aires 
Universidad Católica de La Plata,Facultad de Ciencias de la Salud,Dirección: 44 e/ 9 y 10 720 - La Plata - Buenos Aires 
Universidad Católica de La Plata,Facultad de Ciencias Económicas y Sociales,"Direccion: Av. 25 47, B1900 La Plata – Buenos Aires"
