;Universidad;Facultad;Domicilio
150;Universidad Nacional de Luján;Centro Regional San Miguel;Farias 1590 - San Miguel - Buenos Aires 
152;Universidad Nacional de Luján;Delegación Académica San Fernando;Av. del Libertador 1700 - San Fernando - Buenos Aires 
153;Universidad Nacional de Luján;Rectorado Sede Central;Ruta Nac. 5 y Constitución S/N - Lujan - Buenos Aires 
199;Universidad Nacional de Moreno;Departamento de Ciencias Aplicadas y Tecnologías;Av. Bartolomé Mitre 1891 - Moreno - Buenos Aires 
201;Universidad Nacional de Moreno;Departamento de Economía y Administración;Bme. Mitre 1891 - Moreno - Buenos Aires 
200;Universidad Nacional de Moreno;Departamento de Humanidades y Ciencias Sociales;Bme. Mitre 1891 - Moreno - Buenos Aires 
156;Universidad Nacional de Quilmes;Departamento de Ciencia y Tecnología;Roque Saenz Peña 352 - Bernal - Buenos Aires 
154;Universidad Nacional de Quilmes;Departamento de Ciencias Sociales;Roque Saenz Peña 352 - Bernal - Buenos Aires 
155;Universidad Nacional de Quilmes;Departamento de Economía y Administración;Roque Sáenz Peña 352 - Bernal - Buenos Aires 
232;Universidad Nacional de San Martín;Escuela de Ciencia y Tecnología;Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
229;Universidad Nacional de San Martín;Escuela de Economía y Negocios - San Isidro;Caseros 2241 - San Isidro - Buenos Aires 
227;Universidad Nacional de San Martín;Escuela de Humanidades - Centro;Av. Roque Sáenz Peña 832 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
231;Universidad Nacional de San Martín;Escuela de Humanidades - Migueletes;Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
234;Universidad Nacional de San Martín;Escuela de Política y Gobierno;Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
238;Universidad Nacional de San Martín;Instituto de Altos Estudios Sociales;Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
230;Universidad Nacional de San Martín;Instituto de Ciencias de la Rehabilitación y el Movimiento;Dragones 2201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
233;Universidad Nacional de San Martín;Instituto de Investigaciones Biotecnológicas;Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
228;Universidad Nacional de San Martín;Instituto de Investigaciones sobre el Patrimonio Cultural;Benito Quinquela Martín 1784 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
236;Universidad Nacional de San Martín;Instituto de Tecnología Nuclear Dan Beninson;Centro Atómico Constituyentes - Av. Gral 1499 - Barrio Gral. San Martin - Buenos Aires 
237;Universidad Nacional de San Martín;Instituto de Tecnología Prof. Jorge Sábato;Avda. Gral Paz 1499 - Barrio Gral. San Martin - Buenos Aires 
235;Universidad Nacional de San Martín;Instituto de la Calidad Industrial;Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
157;Universidad Nacional de Tres de Febrero;Secretaría Académica;Valentín Gómez 4828/38 - 3 De Febrero - Buenos Aires 
158;Universidad Nacional de Tres de Febrero;UNTREF Virtual;Av .San Martin 2024 - 3 De Febrero - Buenos Aires 
195;Universidad Nacional de las Artes;Departamento de Artes Audiovisuales;Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
190;Universidad Nacional de las Artes;Departamento de Artes Dramáticas;French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
197;Universidad Nacional de las Artes;Departamento de Artes Musicales y Sonoras;Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
191;Universidad Nacional de las Artes;Departamento de Artes Visuales;Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
196;Universidad Nacional de las Artes;Departamento de Artes del Movimiento;Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
192;Universidad Nacional de las Artes;Área Transdepartamental de Artes Multimediales;Av. Don Pedro de Mendoza 679 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
193;Universidad Nacional de las Artes;Área Transdepartamental de Crítica de Artes;Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
194;Universidad Nacional de las Artes;Área transdepartamental de Folklore;Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
198;Universidad Nacional de las Artes;Área transdepartamental de Formación Docente;Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
310;Universidad Nacional del Oeste;Escuela de Administración;Centenario 1399 - Merlo - Buenos Aires 
314;Universidad Nacional del Oeste;Escuela de Ciencias de la Salud;Córdoba 1055 - Merlo - Buenos Aires 
311;Universidad Nacional del Oeste;Escuela de Humanidades;Centenario 1399 - Merlo - Buenos Aires 
313;Universidad Nacional del Oeste;Escuela de Ingeniería;Córdoba 1055 - Merlo - Buenos Aires 
312;Universidad Nacional del Oeste;Escuela de informática;Córdoba 1055 - Merlo - Buenos Aires 
318;Universidad Pedagógica Nacional;Secretaría Académica;Paraguay 1255 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
160;Universidad Provincial de Ezeiza;Departamento de Desarrollo Aeroportuario;Alfonsina Storni 41 - Ezeiza - Buenos Aires 
159;Universidad Provincial de Ezeiza;Departamento de Desarrollo Humano y Organizacional;Alfonsina Storni 41 - Ezeiza - Buenos Aires 
161;Universidad Provincial de Ezeiza;Departamento de Desarrollo Tecnológico;Alfonsina Storni 41 - Ezeiza - Buenos Aires 
203;Universidad Tecnológica Nacional;Facultad Regional Avellaneda;Ramón Franco 5050 - Villa Dominico - Buenos Aires 
204;Universidad Tecnológica Nacional;Facultad Regional Buenos Aires;Mozart 2300 - Ciudad Autonoma de Buenos Aires
202;Universidad Tecnológica Nacional;Facultad Regional Delta;San Martín 1171 - Campana - Buenos Aires 
207;Universidad Tecnológica Nacional;Facultad Regional General Pacheco;Hipólito Yrigoyen 288 - Gral. Pacheco - Buenos Aires 
205;Universidad Tecnológica Nacional;Facultad Regional Haedo;París 532 - Haedo - Buenos Aires 
206;Universidad Tecnológica Nacional;Facultad Regional La Plata;Calle 60 esq. 124 S/N - La Plata - Buenos Aires 
47;Universidad de Buenos Aires;Facultad de Agronomía;Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
50;Universidad de Buenos Aires;Facultad de Arquitectura Diseño y Urbanismo;Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
56;Universidad de Buenos Aires;Facultad de Ciencias Económicas;Av. Córdoba 2122 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
49;Universidad de Buenos Aires;Facultad de Ciencias Exactas y Naturales;Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
54;Universidad de Buenos Aires;Facultad de Ciencias Sociales;Marcelo T. de Alvear 2230 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
52;Universidad de Buenos Aires;Facultad de Ciencias Veterinarias;Chorroarín 280 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
55;Universidad de Buenos Aires;Facultad de Derecho;Av.Pte.F.Alcorta 2263 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
53;Universidad de Buenos Aires;Facultad de Farmacia y Bioquímica;Junín 954 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
48;Universidad de Buenos Aires;Facultad de Filosofía y Letras;Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
57;Universidad de Buenos Aires;Facultad de Ingeniería;Paseo Colón 850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
58;Universidad de Buenos Aires;Facultad de Medicina;Paraguay 2155 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
59;Universidad de Buenos Aires;Facultad de Odontología;MarceloT.de Alvear 2142 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
51;Universidad de Buenos Aires;Facultad de Psicología;Hipólito Irigoyen 3238 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
71;Universidad de la Defensa Nacional;Facultad de la Armada;Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
72;Universidad de la Defensa Nacional;Facultad de la Fuerza Aérea;Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
70;Universidad de la Defensa Nacional;Facultad del Ejército;Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
