zona_id,lat,lng
U000374,-41.1149511,-71.4100261
U000375,-32.38409,-59.66435
U000376,-34.9216576,-57.9622086
U000377,-24.7993558,-65.416152
U000378,-34.5840998,-68.53894
U000379,-26.1933598,-58.1988695
U000380,-31.6371967,-60.7069352
U000381,-34.5827267,-60.9434122
U000382,-34.6652447,-58.3531077
U000383,-38.01157,-57.58097
U000384,-27.4852798,-55.1109551
U000385,-38.97605,-67.82962
U000386,-34.4471371,-59.4424788
U000387,-36.759951,-62.5045126
U000388,-38.7102019,-62.2646498
U000389,-42.75906,-65.05776
U000390,-32.4961564,-58.2295699
U000391,-34.9047511,-57.9281661
U000392,-34.588505,-58.397719
U000393,-34.2010132,-60.7275516
U000394,-34.6644588,-58.7338929
U000395,-38.92279,-69.1854199
U000396,-38.89566,-70.07695
U000397,-36.82031,-69.91521
U000398,-38.8266599,-68.06622
U000399,-34.5565348,-58.4952275
U000400,-31.4436794,-64.1986895
U000401,-34.4556288,-58.772465
U000402,-31.4099099,-64.167393
U000403,-34.61436,-58.39038
U000404,-36.8873895,-60.3041807
U000405,-38.9475399,-67.99178
U000406,-27.473318,-58.8357262
U000407,-38.6906288,-62.2649852
U000408,-37.9864702,-57.5498395
U000409,-26.87227,-65.21829
U000410,-24.7998093,-65.4219857
U000411,-32.9638795,-60.6376063
U000412,-34.9176399,-57.9596661
U000413,-34.6883399,-58.7607
U000414,-34.582313,-58.373947
U000415,-38.5721599,-58.69204
U000416,-34.6714685,-58.467795
U000417,-34.6137264,-68.3415502
U000418,-33.7726,-69.04057
U000419,-27.4620337,-58.8323936
U000420,-34.3727614,-58.7499774
U000421,-32.6910222,-62.1064698
U000422,-31.6443859,-60.702455
U000423,-31.86902,-59.02421
U000424,-31.2571723,-61.4908654
U000425,-34.9035648,-57.9694609
U000426,-39.288308,-65.661566
U000427,-28.05337,-56.01959
U000428,-27.3820159,-55.892006
U000429,-26.85042,-65.24511
U000430,-37.17647,-62.76427
U000431,-33.73919,-69.11929
U000432,-36.6858249,-56.6792588
U000433,-38.0023748,-57.5421948
U000434,-34.5932297,-58.5083143
U000435,-33.05328,-61.15761
U000436,-34.8367059,-58.3832381
U000437,-31.7311354,-60.5352937
U000438,-28.7720339,-68.2105245
U000439,-29.4299009,-66.8709646
U000440,-31.6398704,-60.67532
U000441,-34.5774135,-59.090961
U000442,-39.0319097,-67.5748177
U000443,-34.613333,-68.3563636
U000444,-35.7697566,-58.4930253
U000445,-31.540117,-68.5795584
U000446,-31.435355,-64.1774672
U000447,-37.6066502,-62.4114608
U000448,-34.5780622,-58.5295693
U000449,-35.4741362,-69.5914079
U000450,-36.6255374,-64.2955176
U000451,-32.3933077,-59.795789
U000452,-27.4871536,-55.1252473
U000453,-31.8304595,-60.5210023
U000454,-42.9314567,-71.3663874
U000455,-27.3249579,-61.2838572
U000456,-34.7754573,-58.4581925
U000457,-33.6441096,-65.4498082
U000458,-34.5729631,-58.5140043
U000459,-34.8449602,-57.8981484
U000460,-30.2527201,-57.6435641
U000461,-35.0512681,-58.7696161
U000462,-39.0949542,-67.0854108
U000463,-27.2256465,-61.1789482
U000464,-38.7188944,-61.2939116
U000465,-38.3819111,-60.2765575
U000466,-34.4564099,-58.6260793
U000467,-35.6687009,-63.7726963
U000468,-34.931087,-58.9462135
U000469,-35.6693585,-63.7775038
