Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng
French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Dramáticas Antonio Cunill Cabanellas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,447,-34.58308,-58.41166
Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura.,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Abierta Interamericana,2,-34.60908,-58.37636
Av. Pellegrini 1816 - Rosario - Santa Fé ,Facultad de Arquitectura - Rosario,Rosario,ARG,Santa Fe,Universidad Abierta Interamericana,450,-33.0316896,-60.6372831
Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias de la Comunicación,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Abierta Interamericana,2,-34.60908,-58.37636
Av. Pellegrini 1816 - Rosario - Santa Fé ,Facultad de Ciencias de la Comunicación - Rosario,Rosario,ARG,Santa Fe,Universidad Abierta Interamericana,450,-33.0316896,-60.6372831
Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura y Diseño,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina de la Empresa,22,-34.617,-58.38156
Bme.Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Escuela de Arquitectura,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina John F. Kennedy,476,-34.55028,-58.50033
Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Ciencias Sociales, Jurídicas y Humanas",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Argentina John F. Kennedy,30,-34.60765,-58.3865
Olavarría 2464 - Mar Del Plata - Buenos Aires ,Departamento de Sistemas - Sede Mar del Plata,General Pueyrredón,ARG,Buenos Aires,Universidad CAECE,74,-38.0116618,-57.5398622
Av. Armada Argentina 3555 - Córdoba - Córdoba ,Facultad de Arquitectura,Córdoba,ARG,Cordoba,Universidad Católica de Córdoba,482,-31.4858262,-64.2464424
50 818 - La Plata - Buenos Aires ,Facultad de Arquitectura y Diseño,La Plata,ARG,Buenos Aires,Universidad Católica de La Plata,483,-34.9189219,-57.9541807
25 de Mayo 51 - Bernal - Buenos Aires ,Unidad Académica Bernal - Facultad de Arquitectura y Diseño,Quilmes,ARG,Buenos Aires,Universidad Católica de La Plata,489,-34.71012,-58.28246
Campo Castañares s/n - Salta - Salta ,Facultad de Arquitectura y Urbanismo,Salta,ARG,Salta,Universidad Católica de Salta,94,-65.3940388,-24.7399601
Campo Castañares s/n - Salta - Salta ,Facultad de Artes y Ciencias,Salta,ARG,Salta,Universidad Católica de Salta,94,-65.3940388,-24.7399601
Echagüe 7151 - Santa Fe - Santa Fé ,Facultad de Arquitectura,Santa Fe,ARG,Santa Fe,Universidad Católica de Santa Fe,497,-31.6071348,-60.6708799
Rademacher 3943 - Posadas - Misiones ,Facultad de Arquitectura - Posadas,Posadas,ARG,Misiones,Universidad Católica de Santa Fe,501,-27.3860046,-55.8963764
Mendoza 4197 - Rosario - Santa Fé ,Facultad de Arquitectura - Rosario,Rosario,ARG,Santa Fe,Universidad Católica de Santa Fe,502,-32.943978,-60.6816
Av. Alsina Y Dalmacio Vélez Sarsfield S/N - Santiago Del Estero - Santiago Del Estero ,Facultad de Ciencias para la Innovación y el Desarrollo,Santiago del Estero,ARG,Santiago Del Estero,Universidad Católica de Santiago del Estero,510,-27.79951,-64.23934
Belgrano 721 - Godoy Cruz - Mendoza ,Facultad de Informática y Diseño,Godoy Cruz,ARG,Mendoza,Universidad Champagnat,512,-32.9175552,-68.8430566
Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura y Urbanismo,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Belgrano,110,-34.5645538,-58.4441269
Federico Lacroze 1947 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ingeniería Y Tecnología Informática,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Belgrano,517,-34.5657843,-58.443185
Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura Diseño y Urbanismo,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,442,-34.54684,-58.43995
Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias de la Comunicación,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Ciencias Empresariales y Sociales,124,-34.5983,-58.38711
Roma 650 - Olivos - Buenos Aires ,UCES Olivos,Vicente López,ARG,Buenos Aires,Universidad de Ciencias Empresariales y Sociales,527,-34.50255,-58.48491
Chile 343 - San Isidro - Buenos Aires ,UCES San Isidro,San Isidro,ARG,Buenos Aires,Universidad de Ciencias Empresariales y Sociales,529,-34.4653777,-58.5171637
Tucumán 2731 2731 - Santa Fe - Santa Fé ,Centro Regional Santa Fe,Santa Fe,ARG,Santa Fe,Universidad de Concepción del Uruguay,530,-31.6463729,-60.7084544
8 de junio 552 - Concepcion Del Uruguay - Entre Ríos ,Facultad de Arquitectura y Urbanismo,Uruguay,ARG,Entre Rios,Universidad de Concepción del Uruguay,531,-32.482044,-58.2302012
