zona_id,lat,lng
S00194,-34.6033785332,-58.438690837
S00195,-34.5787302206,-58.4042720978
S00196,-34.5796864843,-58.4352010723
S00197,-34.5811251538,-58.4250829634
S00198,-34.5742526114,-58.4364265668
S00199,-34.5743394775,-58.5035609005
S00200,-34.5977411994,-58.4906452565
S00201,-34.6225428179,-58.3873498219
S00202,-34.5896824955,-58.3918823165
S00203,-34.68528108,-58.4654671843
S00204,-34.6783836373,-58.4666335866
S00205,-34.5548109818,-58.4647832957
S00206,-34.575541559,-58.4456623531
S00207,-34.551032282,-58.4548310521
S00208,-34.8929815,-57.962985
S00209,-34.88651,-58.1251505
S00210,-34.9122405,-57.993075
S00211,-34.875088,-58.05889
S00212,-34.8524045,-58.0741865
S00213,-34.927416,-57.953512
S00214,-34.931066,-58.00092
S00215,-34.9218435,-57.9614015
S00216,-37.1800495,-62.7619975
S00217,-35.032816,-60.280441
S00218,-34.7879975,-58.379742
S00219,-34.893778,-58.3880375
S00220,-34.8498445,-58.4005395
S00221,-34.8692135,-58.391068
S00222,-34.8278695,-58.397595
S00223,-34.814631,-58.353335
S00224,-34.7794765,-58.3230455
S00225,-34.793006,-58.3939705
S00226,-34.6980695,-58.312898
S00227,-34.687309,-58.3409105
S00228,-34.680641,-58.3457665
S00229,-34.663503,-58.356681
S00230,-34.6953945,-58.3320875
S00231,-37.1547895,-58.488845
S00232,-36.774186,-59.8607095
S00233,-38.7524225,-62.27009
S00234,-38.712004,-62.271297
S00235,-38.731126,-62.2467335
S00236,-37.8391015,-58.2630995
S00237,-33.982824,-59.67147
S00238,-34.069731,-60.0983715
S00239,-36.231274,-61.112302
S00240,-35.2361485,-60.610902
S00241,-35.1691415,-58.2351765
S00242,-35.1613005,-58.2447015
S00243,-34.171488,-58.9599665
S00244,-34.1881765,-58.9391975
S00245,-34.163199,-58.9621395
S00246,-34.160511,-58.970455
S00247,-34.9387065,-58.618398
S00248,-34.9789945,-58.675066
S00249,-35.4950705,-61.594946
S00250,-35.62278,-61.3658115
S00251,-34.3779335,-59.822745
S00252,-33.8930855,-61.095984
S00253,-33.895431,-61.0997195
S00254,-37.9822515,-61.354827
S00255,-37.457868,-61.9320195
S00256,-37.057906,-61.9339505
S00257,-37.4544085,-61.924539
S00258,-34.64079,-60.4647645
S00259,-34.8905885,-60.027649
S00260,-34.9005275,-60.022446
S00261,-34.825627,-58.5003785
S00262,-34.8063625,-58.4764265
S00263,-34.7652915,-58.486804
S00264,-34.8094415,-58.4711785
S00265,-34.83806,-58.450081
S00266,-34.829872,-58.2268555
S00267,-34.832517,-58.2197295
S00268,-34.938976,-58.262463
