index,Universidad,Facultad,coords_o,coords_d,distance_km,ranking
896,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.7418695, -58.372106099999996)",21.9076944232,15.5
896,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería -sede Avellaneda,"(-34.590984999999996, -58.526314)","(-34.6652447, -58.3531077)",17.8921537402,12.0
896,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede CABA,"(-34.590984999999996, -58.526314)","(-34.61257, -58.41826)",10.1967367483,4.0
896,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede Hurlingham,"(-34.590984999999996, -58.526314)","(-34.6160779, -58.63658050000001)",10.4903983084,6.0
896,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"(-34.590984999999996, -58.526314)","(-34.70629, -58.27705)",26.1880816835,18.0
896,Universidad Nacional de Tres de Febrero,Secretaría Académica,"(-34.590984999999996, -58.526314)","(-34.6049368, -58.564289)",3.81188573008,1.0
896,Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,"(-34.590984999999996, -58.526314)","(-34.7892088, -58.525405799999994)",21.990097234,17.0
896,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"(-34.590984999999996, -58.526314)","(-34.694951, -58.327523)",21.5683982827,14.0
896,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"(-34.590984999999996, -58.526314)","(-34.68477, -58.44631)",12.7299159699,8.5
896,Universidad Tecnológica Nacional,Facultad Regional Delta,"(-34.590984999999996, -58.526314)","(-34.1787535, -58.96185079999999)",60.7902499196,21.0
896,Universidad Tecnológica Nacional,Facultad Regional Haedo,"(-34.590984999999996, -58.526314)","(-34.64042070000001, -58.601492099999994)",8.80984684741,2.0
896,Universidad Tecnológica Nacional,Facultad Regional La Plata,"(-34.590984999999996, -58.526314)","(-35.0313299, -58.06411)",64.6129974263,23.0
901,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,"(-34.574555, -58.516296)","(-34.0940568, -59.0199532)",70.632960894,24.5
901,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,"(-34.574555, -58.516296)","(-34.0940568, -59.0199532)",70.632960894,24.5
901,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"(-34.574555, -58.516296)","(-34.54684, -58.43995)",7.65140344721,2.0
901,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,"(-34.574555, -58.516296)","(-34.597903, -58.397458400000005)",11.2062176057,5.0
901,Universidad de Buenos Aires,Facultad de Ingeniería,"(-34.574555, -58.516296)","(-34.68477, -58.44631)",13.8084706594,8.5
901,Universidad Nacional Arturo Jauretche,Instituto de Ingeniería y Agronomía,"(-34.574555, -58.516296)","(-34.796310600000005, -58.27863860000001)",32.8551460879,19.0
901,Universidad Nacional de Avellaneda,Departamento de Tecnología y Administración,"(-34.574555, -58.516296)","(-34.6628049, -58.372224800000005)",16.4443770104,10.0
901,Universidad Nacional de General Sarmiento,Instituto de Industria,"(-34.574555, -58.516296)","(-34.5208625, -58.7003265)",17.911083506,11.0
901,Universidad Nacional de Hurlingham,Instituto de Biotecnología,"(-34.574555, -58.516296)","(-34.6164566, -58.6342231)",11.7744133892,6.0
901,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,"(-34.574555, -58.516296)","(-34.7342286, -58.3901502)",21.1537684916,13.0
901,Universidad Nacional de La Plata,Facultad de Ciencias Exactas,"(-34.574555, -58.516296)","(-34.8478691, -58.082593599999996)",49.9781534716,20.0
901,Universidad Nacional de La Plata,Facultad de Ingeniería,"(-34.574555, -58.516296)","(-34.8995898, -57.9386198)",64.0226028924,22.0
901,Universidad Nacional de Lomas de Zamora,Facultad de Derecho,"(-34.574555, -58.516296)","(-34.7418695, -58.372106099999996)",22.7860771363,15.5
901,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería,"(-34.574555, -58.516296)","(-34.7418695, -58.372106099999996)",22.7860771363,15.5
901,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería -sede Avellaneda,"(-34.574555, -58.516296)","(-34.6652447, -58.3531077)",18.0329435323,12.0
901,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede CABA,"(-34.574555, -58.516296)","(-34.61257, -58.41826)",9.933183029,3.0
901,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede Hurlingham,"(-34.574555, -58.516296)","(-34.6160779, -58.63658050000001)",11.9571855996,7.0
901,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"(-34.574555, -58.516296)","(-34.70629, -58.27705)",26.3577050572,18.0
901,Universidad Nacional de Tres de Febrero,Secretaría Académica,"(-34.574555, -58.516296)","(-34.6049368, -58.564289)",5.54483374546,1.0
901,Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,"(-34.574555, -58.516296)","(-34.7892088, -58.525405799999994)",23.8271973244,17.0
901,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"(-34.574555, -58.516296)","(-34.694951, -58.327523)",21.8628131936,14.0
901,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"(-34.574555, -58.516296)","(-34.68477, -58.44631)",13.8084706594,8.5
901,Universidad Tecnológica Nacional,Facultad Regional Delta,"(-34.574555, -58.516296)","(-34.1787535, -58.96185079999999)",60.0588633853,21.0
901,Universidad Tecnológica Nacional,Facultad Regional Haedo,"(-34.574555, -58.516296)","(-34.64042070000001, -58.601492099999994)",10.6982258427,4.0
