Universidad,Facultad,Direccion
Universidad Nacional de La Plata,Facultad de Ciencias Veterinarias,Dirección: 60 y 118 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Trabajo Social,Dirección: Calle 9 esq. 63 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Arquitectura y Urbanismo,Dirección: Calle 47 (esq 117) 162 - La Plata - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Humanidades y Artes,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Planificación y Políticas Públicas,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de Lanús,Departamento de Salud Comunitaria,Dirección: 29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
Universidad Nacional de las Artes,Área Transdepartamental de Artes Multimediales,Dirección: Av. Don Pedro de Mendoza 679 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Dramáticas,Dirección: French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Audiovisuales,Dirección: Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes del Movimiento,Dirección: Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Área Transdepartamental de Crítica de Artes,Dirección: Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Visuales,Dirección: Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Dirección: Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de Luján,Delegación Académica Capital Federal,Dirección: Ecuador 873 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de Luján,Centro Regional San Miguel,Dirección: Farias 1590 - San Miguel - Buenos Aires 
Universidad Nacional de Luján,Delegación Académica San Fernando,Dirección: Av. del Libertador 1700 - San Fernando - Buenos Aires 
Universidad Nacional de Moreno,,
Universidad Nacional de Quilmes,Departamento de Ciencias Sociales,Dirección: Roque Sáenz Peña 352 - Bernal - Buenos Aires 
Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,Dirección: Roque Sáenz Peña 352 - Bernal - Buenos Aires 
Universidad Nacional de Quilmes,Departamento de Economía y Administración,Dirección: Roque Sáenz Peña 352 - Bernal - Buenos Aires 
Universidad Nacional de Quilmes,Secretaria de Posgrado,Dirección: Roque Saenz Peña 352 - Bernal - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Economía y Negocios - San Martín,Dirección: Caseros 2253 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Investigación e Ingeniería Ambiental,Dirección: Peatonal Belgrano 3563 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Ciencia y Tecnología,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Humanidades - Migueletes,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Escuela de Política y Gobierno,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Altos Estudios Sociales,Dirección: Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Investigaciones Biotecnológicas,Dirección: Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de la Calidad Industrial,Dirección: Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Tecnología Nuclear Dan Beninson,Dirección: Centro Atómico Constituyentes - Av. Gral 1499 - Barrio Gral. San Martin - Buenos Aires 
Universidad Nacional de San Martín,Instituto de Tecnología Prof. Jorge Sábato,Dirección: Avda. Gral Paz 1499 - Barrio Gral. San Martin - Buenos Aires 
