Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,Ámbito,coords_d,zona_id
Alfonsina Storni 41 - Ezeiza - Buenos Aires ,Departamento de Desarrollo Aeroportuario,Ezeiza,ARG,Buenos Aires,Universidad Provincial de Ezeiza,432,-34.7892088,-58.5254058,Público,"(-34.7892088, -58.525405799999994)",14
Alfonsina Storni 41 - Ezeiza - Buenos Aires ,Departamento de Desarrollo Tecnológico,Ezeiza,ARG,Buenos Aires,Universidad Provincial de Ezeiza,432,-34.7892088,-58.5254058,Público,"(-34.7892088, -58.525405799999994)",14
French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Dramáticas Antonio Cunill Cabanellas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,447,-34.58308,-58.41166,Público,"(-34.583079999999995, -58.41166)",26
Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Area Transdepartamental de Crítica del Arte,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,638,-34.60806,-58.39301,Público,"(-34.608059999999995, -58.39301)",6
Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Carreras de Folklore,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,693,-34.61474,-58.41285,Público,"(-34.614740000000005, -58.41285)",7
Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Carreras de Formación Docente,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,699,-34.62788,-58.3724,Público,"(-34.62788, -58.3724)",27
Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Audiovisuales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,707,-34.59927,-58.42267,Público,"(-34.599270000000004, -58.42267)",28
Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes del Movimiento Maria Ruanova,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,693,-34.61474,-58.41285,Público,"(-34.614740000000005, -58.41285)",7
Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Musicales y Sonoras Carlos Lopez Buchardo,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,716,-34.5994,-58.40186,Público,"(-34.5994, -58.40186)",29
Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Visuales Prilidiano Pueyrredón,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,638,-34.60806,-58.39301,Público,"(-34.608059999999995, -58.39301)",6
Azcuénaga 1129 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Rectorado,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,5003,-34.59483,-58.39979,Público,"(-34.59483, -58.39979)",0
Vergara 2222 - Hurlingham - Buenos Aires ,Instituto de Tecnología e Ingeniería,Hurlingham,ARG,Buenos Aires,Universidad Nacional de Hurlingham,623,-34.6164566,-58.6342231,Público,"(-34.6164566, -58.6342231)",2
Vergara 2222 - Hurlingham - Buenos Aires ,Instituto de Biotecnología,Hurlingham,ARG,Buenos Aires,Universidad Nacional de Hurlingham,623,-34.6164566,-58.6342231,Público,"(-34.6164566, -58.6342231)",2
Vergara 2222 - Hurlingham - Buenos Aires ,Instituto de Educación,Hurlingham,ARG,Buenos Aires,Universidad Nacional de Hurlingham,623,-34.6164566,-58.6342231,Público,"(-34.6164566, -58.6342231)",2
Vergara 2222 - Hurlingham - Buenos Aires ,Instituto de Salud Comunitaria,Hurlingham,ARG,Buenos Aires,Universidad Nacional de Hurlingham,623,-34.6164566,-58.6342231,Público,"(-34.6164566, -58.6342231)",2
French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Dramáticas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,447,-34.58308,-58.41166,Público,"(-34.583079999999995, -58.41166)",26
Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Visuales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,638,-34.60806,-58.39301,Público,"(-34.608059999999995, -58.39301)",6
Av. Don Pedro de Mendoza 679 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Área Transdepartamental de Artes Multimediales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,978,-34.6293037,-58.3551303,Público,"(-34.6293037, -58.3551303)",55
Bartolomé Mitre 1869 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Área Transdepartamental de Crítica de Artes,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,638,-34.60806,-58.39301,Público,"(-34.608059999999995, -58.39301)",6
Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Área transdepartamental de Folklore,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,693,-34.61474,-58.41285,Público,"(-34.614740000000005, -58.41285)",7
Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Audiovisuales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,707,-34.59927,-58.42267,Público,"(-34.599270000000004, -58.42267)",28
Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes del Movimiento,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,693,-34.61474,-58.41285,Público,"(-34.614740000000005, -58.41285)",7
Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Musicales y Sonoras,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,716,-34.5994,-58.40186,Público,"(-34.5994, -58.40186)",29
Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Área transdepartamental de Formación Docente,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de las Artes,699,-34.62788,-58.3724,Público,"(-34.62788, -58.3724)",27
Av. Bartolomé Mitre 1891 - Moreno - Buenos Aires ,Departamento de Ciencias Aplicadas y Tecnologías,Moreno,ARG,Buenos Aires,Universidad Nacional de Moreno,658,-34.65254,-58.7772034,Público,"(-34.65254, -58.7772034)",56
Bme. Mitre 1891 - Moreno - Buenos Aires ,Departamento de Humanidades y Ciencias Sociales,Morón,ARG,Buenos Aires,Universidad Nacional de Moreno,1858,-34.65294,-58.633274,Público,"(-34.65294, -58.633274)",30
Bme. Mitre 1891 - Moreno - Buenos Aires ,Departamento de Economía y Administración,Morón,ARG,Buenos Aires,Universidad Nacional de Moreno,1858,-34.65294,-58.633274,Público,"(-34.65294, -58.633274)",30
San Martín 1171 - Campana - Buenos Aires ,Facultad Regional Delta,Campana,ARG,Buenos Aires,Universidad Tecnológica Nacional,686,-34.1787535,-58.9618508,Público,"(-34.1787535, -58.96185079999999)",57
Ramón Franco 5050 - Villa Dominico - Buenos Aires ,Facultad Regional Avellaneda,Avellaneda,ARG,Buenos Aires,Universidad Tecnológica Nacional,3203,-34.694951,-58.327523,Público,"(-34.694951, -58.327523)",58
Mozart 2300 - Ciudad Autonoma de Buenos Aires,Facultad Regional Buenos Aires,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Tecnológica Nacional,3204,-34.6594074,-58.4691224,Público,"(-34.6594074, -58.469122399999996)",59
París 532 - Haedo - Buenos Aires ,Facultad Regional Haedo,Morón,ARG,Buenos Aires,Universidad Tecnológica Nacional,3715,-34.6404207,-58.6014921,Público,"(-34.64042070000001, -58.601492099999994)",60
Calle 60 esq. 124 S/N - La Plata - Buenos Aires ,Facultad Regional La Plata,La Plata,ARG,Buenos Aires,Universidad Tecnológica Nacional,4190,-34.9047511,-57.9281661,Público,"(-34.9047511, -57.9281661)",61
Hipólito Yrigoyen 288 - Gral. Pacheco - Buenos Aires ,Facultad Regional General Pacheco,Tigre,ARG,Buenos Aires,Universidad Tecnológica Nacional,3207,-34.4564099,-58.6260793,Público,"(-34.4564099, -58.6260793)",62
Av. Roque Sáenz Peña 832 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Escuela de Humanidades - Centro,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de San Martín,1218,-34.6054,-58.37839,Público,"(-34.6054, -58.37839)",11
Benito Quinquela Martín 1784 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Instituto de Investigaciones sobre el Patrimonio Cultural,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de San Martín,1224,-34.6439,-58.37487,Público,"(-34.6439, -58.374869999999994)",63
Caseros 2241 - San Isidro - Buenos Aires ,Escuela de Economía y Negocios - San Isidro,San Isidro,ARG,Buenos Aires,Universidad Nacional de San Martín,3135,-34.46128,-58.51002,Público,"(-34.46128, -58.51002)",64
Dragones 2201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Instituto de Ciencias de la Rehabilitación y el Movimiento,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Nacional de San Martín,3675,-34.551954,-58.4417878,Público,"(-34.551953999999995, -58.4417878)",65
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Humanidades - Migueletes,San Martín,ARG,Buenos Aires,Universidad Nacional de San Martín,1219,-34.5780622,-58.5295693,Público,"(-34.578062200000005, -58.5295693)",8
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Ciencia y Tecnología,San Martín,ARG,Buenos Aires,Universidad Nacional de San Martín,1219,-34.5780622,-58.5295693,Público,"(-34.578062200000005, -58.5295693)",8
Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires ,Instituto de Investigaciones Biotecnológicas,San Martí,ARG,Buenos Aires,Universidad Nacional de San Martín,1603,-34.5729631,-58.5140043,Público,"(-34.5729631, -58.5140043)",9
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Política y Gobierno,San Martín,ARG,Buenos Aires,Universidad Nacional de San Martín,1219,-34.5780622,-58.5295693,Público,"(-34.578062200000005, -58.5295693)",8
Avda. Gral Paz 5445 - Barrio Gral. San Martin - Buenos Aires ,Instituto de la Calidad Industrial,San Martín,ARG,Buenos Aires,Universidad Nacional de San Martín,1603,-34.5729631,-58.5140043,Público,"(-34.5729631, -58.5140043)",9
Centro Atómico Constituyentes - Av. Gral 1499 - Barrio Gral. San Martin - Buenos Aires ,Instituto de Tecnología Nuclear Dan Beninson,San Martín,ARG,Buenos Aires,Universidad Nacional de San Martín,4846,-34.5729631,-58.5140043,Público,"(-34.5729631, -58.5140043)",9
