,Universidad,Facultad,Dirección,Nombre,Pais,Provincia,Municipio,lng,lat
66,Universidad Abierta Interamericana,Facultad de Arquitectura.,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Arquitectura.",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
67,Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Derecho y Ciencias Políticas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
68,Universidad Abierta Interamericana,Facultad de Tecnología Informática,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Tecnología Informática",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
69,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Turismo y Hospitalidad",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
70,Universidad Argentina de la Empresa,Escuela de Dirección de Empresas,Libertad 1340 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Escuela de Dirección de Empresas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38439,-34.59202
71,Universidad Argentina de la Empresa,Facultad de Ciencias Económicas,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Facultad de Ciencias Económicas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38156,-34.617
72,Universidad Argentina de la Empresa,Facultad de Administración y Negocios,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Facultad de Administración y Negocios",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38156,-34.617
73,Universidad Argentina de la Empresa,Facultad de Arquitectura y Diseño,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Facultad de Arquitectura y Diseño",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38156,-34.617
74,Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Facultad de Ciencias Jurídicas y Sociales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38156,-34.617
75,Universidad Argentina de la Empresa,Facultad de Comunicación,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Argentina de la Empresa, Facultad de Comunicación",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.38156,-34.617
